1.38.110.389 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens =   2048, progress = 0.04, t =   5.72 s / 358.07 tokens per second
1.44.059.271 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens =   4096, progress = 0.08, t =  11.67 s / 351.03 tokens per second
1.50.328.444 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens =   6144, progress = 0.12, t =  17.94 s / 342.52 tokens per second
1.56.951.344 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens =   8192, progress = 0.16, t =  24.56 s / 333.54 tokens per second
2.03.949.462 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens =  10240, progress = 0.20, t =  31.56 s / 324.47 tokens per second
2.11.536.759 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens =  12288, progress = 0.25, t =  39.15 s / 313.90 tokens per second
2.20.118.166 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens =  14336, progress = 0.29, t =  47.73 s / 300.37 tokens per second
2.29.202.613 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens =  16384, progress = 0.33, t =  56.81 s / 288.39 tokens per second
2.38.609.333 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens =  18432, progress = 0.37, t =  66.22 s / 278.35 tokens per second
2.48.266.941 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens =  20480, progress = 0.41, t =  75.88 s / 269.91 tokens per second
2.57.828.820 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens =  22528, progress = 0.45, t =  85.44 s / 263.68 tokens per second
3.07.600.799 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens =  24576, progress = 0.49, t =  95.21 s / 258.12 tokens per second
3.17.413.760 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens =  26624, progress = 0.53, t = 105.02 s / 253.51 tokens per second
3.27.200.779 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens =  28672, progress = 0.57, t = 114.81 s / 249.73 tokens per second
3.37.226.286 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens =  30720, progress = 0.61, t = 124.84 s / 246.08 tokens per second
3.47.433.717 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens =  32768, progress = 0.65, t = 135.04 s / 242.65 tokens per second
3.57.897.550 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens =  34816, progress = 0.69, t = 145.51 s / 239.27 tokens per second
4.08.579.989 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens =  36864, progress = 0.74, t = 156.19 s / 236.02 tokens per second
4.19.452.407 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens =  38912, progress = 0.78, t = 167.06 s / 232.92 tokens per second
4.30.605.605 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens =  40960, progress = 0.82, t = 178.21 s / 229.83 tokens per second
4.42.030.862 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens =  43008, progress = 0.86, t = 189.64 s / 226.79 tokens per second
4.53.618.045 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens =  45056, progress = 0.90, t = 201.23 s / 223.91 tokens per second
5.05.379.156 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens =  47104, progress = 0.94, t = 212.99 s / 221.16 tokens per second
5.16.825.752 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens =  49091, progress = 0.98, t = 224.43 s / 218.73 tokens per second
5.22.860.803 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens =  50115, progress = 1.00, t = 230.47 s / 217.45 tokens per second
