1.44.636.947 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens =   2048, progress = 0.04, t =   5.83 s / 350.99 tokens per second
1.51.006.271 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens =   4096, progress = 0.08, t =  12.30 s / 332.88 tokens per second
1.57.651.748 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens =   6144, progress = 0.12, t =  18.94 s / 324.43 tokens per second
2.04.673.604 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens =   8192, progress = 0.16, t =  25.95 s / 315.73 tokens per second
2.12.082.104 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens =  10240, progress = 0.20, t =  33.34 s / 307.15 tokens per second
2.20.304.103 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens =  12288, progress = 0.25, t =  41.54 s / 295.80 tokens per second
2.29.338.894 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens =  14336, progress = 0.29, t =  50.56 s / 283.52 tokens per second
2.38.967.815 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens =  16384, progress = 0.33, t =  60.17 s / 272.28 tokens per second
2.48.897.179 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens =  18432, progress = 0.37, t =  70.07 s / 263.04 tokens per second
2.58.853.302 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens =  20480, progress = 0.41, t =  80.01 s / 255.97 tokens per second
3.09.071.061 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens =  22528, progress = 0.45, t =  90.22 s / 249.71 tokens per second
3.19.404.007 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens =  24576, progress = 0.49, t = 100.53 s / 244.45 tokens per second
3.29.819.481 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens =  26624, progress = 0.53, t = 110.94 s / 239.98 tokens per second
3.40.231.681 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens =  28672, progress = 0.57, t = 121.35 s / 236.28 tokens per second
3.50.888.759 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens =  30720, progress = 0.61, t = 132.00 s / 232.72 tokens per second
4.01.772.303 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens =  32768, progress = 0.65, t = 142.87 s / 229.36 tokens per second
4.12.770.748 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens =  34816, progress = 0.69, t = 153.85 s / 226.29 tokens per second
4.23.934.567 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens =  36864, progress = 0.74, t = 165.02 s / 223.40 tokens per second
4.35.371.202 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens =  38912, progress = 0.78, t = 176.43 s / 220.56 tokens per second
4.47.010.103 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens =  40960, progress = 0.82, t = 188.06 s / 217.80 tokens per second
4.58.890.851 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens =  43008, progress = 0.86, t = 199.92 s / 215.13 tokens per second
5.11.013.394 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens =  45056, progress = 0.90, t = 212.04 s / 212.49 tokens per second
5.23.355.126 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens =  47104, progress = 0.94, t = 224.37 s / 209.94 tokens per second
5.35.253.195 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens =  49091, progress = 0.98, t = 236.36 s / 207.70 tokens per second
5.41.766.450 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens =  50115, progress = 1.00, t = 243.04 s / 206.20 tokens per second
6.01.240.296 I slot print_timing: id  0 | task 0 | draft acceptance = 0.80802 (  282 accepted /   349 generated), mean len =  3.41
6.01.245.179 I spec common_specu: statistics        draft-mtp: #calls(b,g,a) =    1    117    117, #gen drafts =    117, #acc drafts =   107, #gen tokens =    349, #acc tokens =   282, #mean acc len = 3.41, #acc rate/pos = (0.915, 0.803, 0.692), dur(b,g,a) = 0.006, 1769.225, 0.172 ms
