1.42.696.906 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens =   2048, progress = 0.04, t =   5.89 s / 347.94 tokens per second
1.49.106.212 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens =   4096, progress = 0.08, t =  12.32 s / 332.42 tokens per second
1.55.825.761 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens =   6144, progress = 0.12, t =  19.03 s / 322.88 tokens per second
2.02.868.088 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens =   8192, progress = 0.16, t =  26.06 s / 314.38 tokens per second
2.10.333.841 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens =  10240, progress = 0.20, t =  33.50 s / 305.63 tokens per second
2.18.535.079 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens =  12288, progress = 0.25, t =  41.69 s / 294.72 tokens per second
2.27.679.863 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens =  14336, progress = 0.29, t =  50.82 s / 282.08 tokens per second
2.37.430.622 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens =  16384, progress = 0.33, t =  60.55 s / 270.58 tokens per second
2.47.385.483 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens =  18432, progress = 0.37, t =  70.49 s / 261.50 tokens per second
2.57.602.208 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens =  20480, progress = 0.41, t =  80.68 s / 253.83 tokens per second
3.07.889.877 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens =  22528, progress = 0.45, t =  90.96 s / 247.68 tokens per second
3.18.177.055 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens =  24576, progress = 0.49, t = 101.24 s / 242.76 tokens per second
3.28.552.989 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens =  26624, progress = 0.53, t = 111.59 s / 238.58 tokens per second
3.38.925.609 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens =  28672, progress = 0.57, t = 121.95 s / 235.11 tokens per second
3.49.512.345 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens =  30720, progress = 0.61, t = 132.53 s / 231.79 tokens per second
4.00.312.997 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens =  32768, progress = 0.65, t = 143.31 s / 228.65 tokens per second
4.11.319.940 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens =  34816, progress = 0.69, t = 154.32 s / 225.61 tokens per second
4.22.487.551 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens =  36864, progress = 0.74, t = 165.48 s / 222.77 tokens per second
4.33.925.362 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens =  38912, progress = 0.78, t = 176.90 s / 219.96 tokens per second
4.45.739.544 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens =  40960, progress = 0.82, t = 188.68 s / 217.08 tokens per second
4.57.716.374 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens =  43008, progress = 0.86, t = 200.66 s / 214.33 tokens per second
5.09.926.978 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens =  45056, progress = 0.90, t = 212.87 s / 211.66 tokens per second
5.22.337.133 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens =  47104, progress = 0.94, t = 225.26 s / 209.11 tokens per second
5.34.460.421 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens =  49091, progress = 0.98, t = 237.46 s / 206.73 tokens per second
5.41.063.336 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens =  50115, progress = 1.00, t = 244.24 s / 205.18 tokens per second
6.08.461.401 I slot print_timing: id  0 | task 0 | draft acceptance = 0.58219 (  340 accepted /   584 generated), mean len =  6.76
6.08.461.490 I spec common_specu: statistics        draft-mtp: #calls(b,g,a) =    1     59     59, #gen drafts =     59, #acc drafts =    51, #gen tokens =    584, #acc tokens =   340, #mean acc len = 6.76, #acc rate/pos = (0.864, 0.831, 0.763, 0.729, 0.644, 0.508, 0.492, 0.373, 0.288, 0.271), dur(b,g,a) = 0.005, 3014.458, 0.076 ms
