1.44.691.542 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens =   2048, progress = 0.04, t =   5.86 s / 349.74 tokens per second
1.50.997.216 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens =   4096, progress = 0.08, t =  12.20 s / 335.72 tokens per second
1.57.659.015 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens =   6144, progress = 0.12, t =  18.84 s / 326.03 tokens per second
2.04.657.112 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens =   8192, progress = 0.16, t =  25.83 s / 317.15 tokens per second
2.12.071.130 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens =  10240, progress = 0.20, t =  33.23 s / 308.16 tokens per second
2.20.154.059 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens =  12288, progress = 0.25, t =  41.30 s / 297.56 tokens per second
2.29.180.453 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens =  14336, progress = 0.29, t =  50.31 s / 284.97 tokens per second
2.38.836.240 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens =  16384, progress = 0.33, t =  59.94 s / 273.33 tokens per second
2.48.724.505 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens =  18432, progress = 0.37, t =  69.81 s / 264.03 tokens per second
2.58.705.606 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens =  20480, progress = 0.41, t =  79.77 s / 256.74 tokens per second
3.08.874.547 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens =  22528, progress = 0.45, t =  89.92 s / 250.52 tokens per second
3.19.151.365 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens =  24576, progress = 0.49, t = 100.19 s / 245.30 tokens per second
3.29.448.016 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens =  26624, progress = 0.53, t = 110.47 s / 241.01 tokens per second
3.39.724.942 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens =  28672, progress = 0.57, t = 120.74 s / 237.46 tokens per second
3.50.254.041 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens =  30720, progress = 0.61, t = 131.26 s / 234.04 tokens per second
4.00.992.811 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens =  32768, progress = 0.65, t = 141.99 s / 230.77 tokens per second
4.11.871.665 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens =  34816, progress = 0.69, t = 152.86 s / 227.77 tokens per second
4.22.936.852 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens =  36864, progress = 0.74, t = 163.91 s / 224.91 tokens per second
4.34.282.116 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens =  38912, progress = 0.78, t = 175.25 s / 222.04 tokens per second
4.45.870.117 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens =  40960, progress = 0.82, t = 186.82 s / 219.25 tokens per second
4.57.709.945 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens =  43008, progress = 0.86, t = 198.65 s / 216.50 tokens per second
5.09.762.137 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens =  45056, progress = 0.90, t = 210.69 s / 213.85 tokens per second
5.22.058.053 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens =  47104, progress = 0.94, t = 222.95 s / 211.28 tokens per second
5.34.384.859 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens =  49091, progress = 0.98, t = 235.37 s / 208.57 tokens per second
5.40.857.234 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens =  50115, progress = 1.00, t = 242.02 s / 207.07 tokens per second
6.10.239.533 I slot print_timing: id  0 | task 0 | draft acceptance = 0.69663 (  310 accepted /   445 generated), mean len =  4.48
6.10.239.588 I spec common_specu: statistics        draft-mtp: #calls(b,g,a) =    1     89     89, #gen drafts =     89, #acc drafts =    76, #gen tokens =    445, #acc tokens =   310, #mean acc len = 4.48, #acc rate/pos = (0.854, 0.764, 0.674, 0.618, 0.573), dur(b,g,a) = 0.005, 2373.495, 0.122 ms
